baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median
4,0,2,30,20,0,1,1,2502286.0,2502286.0,2502286.0,56162040.0,0.0,910204.0
4,0,2,30,30,0,1,1,45552856.0,45552856.0,45552856.0,51542046.0,0.0,726160.0
4,0,2,60,0,0,1,1,8529904.0,8529904.0,8529904.0,58013111.0,0.0,861376.0
4,0,2,60,2,0,1,1,2501450.0,2501450.0,2501450.0,57133090.0,0.0,920220.0
4,0,2,60,5,0,1,1,2501474.0,2501474.0,2501474.0,57131872.0,0.0,920220.0
4,0,2,60,10,0,1,1,2501373.0,2501373.0,2501373.0,56481131.0,0.0,920220.0
4,0,2,60,20,0,1,1,8529904.0,8529904.0,8529904.0,58013111.0,0.0,861376.0
4,0,2,60,30,0,1,1,2501464.0,2501464.0,2501464.0,56639979.0,0.0,920220.0
4,0,2,60,60,0,1,1,7566943.0,7566943.0,7566943.0,63809624.0,0.0,1373444.0
4,0,2,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,2,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,2,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,2,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,2,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,2,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,2,120,60,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,1,2,30,0,0,1,1,2500727.0,2500727.0,2500727.0,67442164.0,0.0,1900536.0
4,1,2,30,2,0,1,1,2501591.0,2501591.0,2501591.0,67408820.0,0.0,5810520.0
4,1,2,30,5,0,1,1,2501692.0,2501692.0,2501692.0,67575572.0,0.0,2127148.0
4,1,2,30,10,0,1,1,2500701.0,2500701.0,2500701.0,67022385.0,0.0,1905544.0
4,1,2,30,20,0,1,1,2501455.0,2501455.0,2501455.0,67218671.0,0.0,4465884.0
4,1,2,30,30,0,1,1,41563773.0,41563773.0,41563773.0,29296295.0,0.0,726160.0
4,1,2,60,0,0,1,1,2501839.0,2501839.0,2501839.0,66825034.0,0.0,2033248.0
4,1,2,60,2,0,1,1,2501839.0,2501839.0,2501839.0,66825034.0,0.0,2033248.0
4,1,2,60,5,0,1,1,1500328.0,1500328.0,1500328.0,64273383.0,0.0,1355916.0
4,1,2,60,10,0,1,1,2501902.0,2501902.0,2501902.0,69610738.0,0.0,1317104.0
4,1,2,60,20,0,1,1,1500274.0,1500274.0,1500274.0,65196624.0,0.0,1325868.0
4,1,2,60,30,0,1,1,2500986.0,2500986.0,2500986.0,68627706.0,0.0,1317104.0
4,1,2,60,60,0,1,1,41585518.0,41585518.0,41585518.0,30253582.0,0.0,726160.0
4,1,2,120,0,0,1,1,2500306.0,2500306.0,2500306.0,67185337.0,0.0,1903040.0
4,1,2,120,2,0,1,1,2500785.0,2500785.0,2500785.0,65575695.0,0.0,1317104.0
4,1,2,120,5,0,1,1,1500384.0,1500384.0,1500384.0,64740484.0,0.0,1372192.0
4,1,2,120,10,0,1,1,1500650.0,1500650.0,1500650.0,69308235.0,0.0,1317104.0
4,1,2,120,20,0,1,1,2501840.0,2501840.0,2501840.0,69600327.0,0.0,1317104.0
4,1,2,120,30,0,1,1,6501878.0,6501878.0,6501878.0,54314098.0,0.0,1317104.0
4,1,2,120,60,0,1,1,2501525.0,2501525.0,2501525.0,67105762.0,0.0,1898032.0
